time,seconds_elapsed,z,y,x
1776820795344801300,0.05680126953125,9.525328966844082,2.329665328968316,-0.10579300954001955
1776820795354842000,0.066842041015625,9.526398057380318,2.3255846355259417,-0.09879483948205597
1776820795364884200,0.07688427734375,9.52745721104443,2.3215458815291523,-0.09183626164896413
1776820795374925000,0.086925048828125,9.52838893893659,2.317932805598527,-0.0859113011799287
1776820795384966100,0.096966064453125,9.529200255319475,2.3148200804054735,-0.07941988420085981
1776820795395008000,0.107008056640625,9.52949193174243,2.313834576499462,-0.07316265957015566
1776820795405049000,0.117049072265625,9.529107900860906,2.3155763056002554,-0.0677385521621909
1776820795415090200,0.127090087890625,9.528637945261597,2.3176409830451012,-0.06301990787615068
1776820795425132000,0.137132080078125,9.52848012435138,2.3184053915463387,-0.05893091696288902
1776820795435173000,0.147173095703125,9.528537407496572,2.3182656908147035,-0.05509383671777322
1776820795445214000,0.1572138671875,9.52881739348173,2.3172325483746827,-0.050246314488211645
1776820795455256300,0.16725634765625,9.529258122986555,2.3155169766284525,-0.045259242224064654
1776820795465297200,0.177297119140625,9.529600652813912,2.314189089025557,-0.040045110605238
1776820795475338200,0.187338134765625,9.529614096817374,2.3142088166393338,-0.03529133335702354
1776820795485380000,0.197380126953125,9.529164599484204,2.3161326243087648,-0.03156669366057031
1776820795495421200,0.207421142578125,9.528437454253435,2.31913925877884,-0.029300502294255418
1776820795505462300,0.217462158203125,9.527695111453532,2.3222088754825294,-0.02718705608752789
1776820795515504000,0.227504150390625,9.526904837858677,2.3254719689317045,-0.024669417560659348
1776820795525545200,0.237545166015625,9.5262630328238,2.328127159615606,-0.02238253731605364
1776820795535586000,0.2475859375,9.525912319689988,2.3295805732943116,-0.02058050199592253
1776820795545628200,0.257628173828125,9.525561022034287,2.3310336947120724,-0.01800738412188366
1776820795555669000,0.2676689453125,9.525123215138912,2.3328538958765566,-0.015008495708490954
1776820795565710000,0.2777099609375,9.524542200380564,2.3352435674920677,-0.01292309285273659
1776820795575752200,0.287752197265625,9.523610472488404,2.3390470514282584,-0.01119377685058862
1776820795585793300,0.297793212890625,9.522576453265547,2.343262915557623,-0.0090236291664507
1776820795595834400,0.30783447265625,9.521751108357309,2.3466103262893854,-0.007016680678899865
1776820795605876200,0.317876220703125,9.52098538468182,2.349719544351101,-0.00630598026367661
1776820795615917300,0.327917236328125,9.520231935966015,2.3527637343525885,-0.007602341358791454
1776820795625958100,0.337958251953125,9.519481409859656,2.3557966723077,-0.01082930690277135
1776820795636000300,0.348000244140625,9.518836682215332,2.3583701760575173,-0.015244978195353177
1776820795646041000,0.358041015625,9.51820773666203,2.3608631619170306,-0.019912103498354553
1776820795656082200,0.368082275390625,9.518034718182683,2.3615208951734004,-0.024470805699040647
1776820795666124000,0.3781240234375,9.518577739018202,2.359290505772829,-0.028281182883610017
1776820795676165000,0.3881650390625,9.519389639922975,2.3559674988299606,-0.031240822707070036
1776820795686207000,0.39820703125,9.52014659577012,2.3528951056472955,-0.03322305973258335
1776820795696248000,0.408248046875,9.520678510689734,2.350725360392779,-0.03430483850374585
1776820795706289200,0.4182890625,9.521031561911105,2.3492833448909223,-0.034711789036553815
1776820795716331300,0.428331298828125,9.521271215885877,2.3483026632905006,-0.03514150167373009
1776820795726372400,0.438372314453125,9.521803130805491,2.3461304338179527,-0.035728370784129944
1776820795736413200,0.4484130859375,9.522340306422114,2.3439213794663547,-0.03785153466727351
1776820795746455300,0.458455322265625,9.522914306917786,2.341532292372733,-0.04108191544022411
1776820795756496100,0.46849609375,9.523473694366215,2.3392288377359507,-0.0422934923202265
1776820795766537200,0.478537109375,9.524196163421868,2.336343345427513,-0.03919501941481139
1776820795776579000,0.4885791015625,9.524871286204457,2.33370072196424,-0.032293293185357466
1776820795786620200,0.4986201171875,9.524667288064956,2.3346321575954554,-0.025289752832532392
1776820795796661200,0.5086611328125,9.523491814544796,2.3394445263132453,-0.022754293237894307
1776820795806703000,0.518703125,9.52132265381217,2.348205048134923,-0.027739707834494764
1776820795816744200,0.528744140625,9.518612225809692,2.3589888924777505,-0.03990588936421554
1776820795826786000,0.5387861328125,9.515814704045653,2.3699442939952013,-0.05531263056760653
1776820795836827100,0.5488271484375,9.513125903353094,2.380310059056431,-0.070045281034871
1776820795846868000,0.558867919921875,9.510834577545523,2.389060351745039,-0.08233148819808847
1776820795856910300,0.568910400390625,9.509007362118362,2.3960040334030985,-0.09144550876570864
1776820795866951200,0.578951171875,9.507679328384995,2.4010855744510886,-0.09602570356228388
1776820795876992300,0.5889921875,9.507152089640497,2.4031582890719174,-0.09636045194198377
1776820795887034000,0.5990341796875,9.507292374894023,2.4026624683789906,-0.0948915210337378
1776820795897075200,0.6090751953125,9.507666468903421,2.4012400343604385,-0.09314482349688187
1776820795907117000,0.619116943359375,9.508077387791872,2.3996596333011984,-0.0920691114236135
