time,seconds_elapsed,z,y,x
1777473945380795400,0.06079541015625,-9.803171510234474,-0.25866929382691156,-0.03609516968635144
1777473945390833700,0.070833740234375,-9.803175601887702,-0.25847271180888637,-0.03644167928579263
1777473945400871400,0.080871337890625,-9.803176186409592,-0.2583912075378932,-0.03679655257149134
1777473945410909700,0.09090966796875,-9.80317852449715,-0.2582711978874169,-0.03705315996435238
1777473945420948500,0.100948486328125,-9.8031814471066,-0.2581270219100639,-0.03728483612864511
1777473945430986800,0.11098681640625,-9.8031814471066,-0.258120117245242,-0.037273874059924855
1777473945441024500,0.1210244140625,-9.803183200672269,-0.2580811004091054,-0.03714073321652831
1777473945451062800,0.131062744140625,-9.803183785194157,-0.25808818773701786,-0.036882004648528526
1777473945461101600,0.1411015625,-9.80318027806282,-0.25824834673479197,-0.03672632317976095
1777473945471139600,0.1511396484375,-9.803176186409592,-0.25843561293520034,-0.036484365366760176
1777473945481177600,0.161177490234375,-9.803175601887702,-0.2585022849632427,-0.03619999775071628
1777473945491216600,0.171216552734375,-9.803173848322034,-0.2585989137381315,-0.03599693119297735
1777473945501254700,0.181254638671875,-9.803173848322034,-0.25859151588296514,-0.03598614493748173
1777473945511292700,0.191292724609375,-9.803172679278253,-0.25863698072619734,-0.03599052200178848
1777473945521330700,0.20133056640625,-9.803173263800144,-0.2585816520760767,-0.03621203068180475
1777473945531369700,0.21136962890625,-9.803177355453371,-0.2584050351338461,-0.036418572404840956
1777473945541407500,0.221407470703125,-9.803179109019041,-0.258319749736879,-0.03659978789037559
1777473945551445500,0.231445556640625,-9.803177939975262,-0.2583217955634929,-0.03676303846095688
1777473945561483500,0.2414833984375,-9.803175017365813,-0.25841533733215183,-0.036988972154341174
1777473945571522600,0.2515224609375,-9.803170341190695,-0.2585616322013549,-0.037145756451517804
1777473945581560600,0.261560546875,-9.803170925712585,-0.258545356919989,-0.03718844709906261
1777473945591598600,0.2715986328125,-9.803169172146916,-0.2586310989746824,-0.037065985196596006
1777473945601636600,0.28163671875,-9.803170341190695,-0.2585996078578755,-0.03691608729793224
1777473945611675400,0.29167529296875,-9.803170341190695,-0.2586208150426857,-0.03682377622184576
1777473945621713700,0.301713623046875,-9.803170925712585,-0.25859423756301403,-0.03673647011443972
1777473945631751400,0.31175146484375,-9.803174432843923,-0.2584793790116906,-0.036687406808324156
1777473945641790700,0.321790771484375,-9.803180862584709,-0.2582492235176265,-0.03663141828778898
1777473945651828500,0.331828369140625,-9.803182616150378,-0.25817042266037316,-0.03665920362714678
1777473945661866800,0.34186669921875,-9.80318203162849,-0.258168997888267,-0.036810982955642974
1777473945671904500,0.351904541015625,-9.80318203162849,-0.2581391324729658,-0.03695077501882333
1777473945681943600,0.361943603515625,-9.80318203162849,-0.25812963399225847,-0.03713270974027691
1777473945691981600,0.371981689453125,-9.803179109019041,-0.2582137320791371,-0.03731817670924356
1777473945702019600,0.38201953125,-9.803177939975262,-0.2582445838751271,-0.037411458182998465
1777473945712057600,0.3920576171875,-9.80317852449715,-0.25821236210595816,-0.03751044102846644
1777473945722096600,0.4020966796875,-9.803177355453371,-0.2582170382810756,-0.037698599994729735
1777473945732134700,0.412134765625,-9.803179109019041,-0.2581428953326307,-0.03779261212084675
1777473945742172400,0.42217236328125,-9.80318027806282,-0.2580928821784444,-0.03782800766121363
1777473945752211500,0.43221142578125,-9.80318203162849,-0.2580193054855801,-0.037841296401049475
1777473945762249700,0.442249755859375,-9.803187292325497,-0.25779274845439937,-0.037965925144427454
1777473945772287500,0.45228759765625,-9.803191383978724,-0.2576387086701579,-0.03797778682886856
1777473945782325500,0.462325439453125,-9.80319781371951,-0.25740384046835824,-0.03791161940761376
1777473945792364500,0.472364501953125,-9.803201905372738,-0.2572818215238862,-0.03777067885025171
1777473945802402600,0.482402587890625,-9.803205412504076,-0.2571644787545316,-0.037675897255865856
1777473945812440600,0.492440673828125,-9.803210673201084,-0.25698172433245925,-0.037488210930349306
1777473945822478600,0.502478515625,-9.803211842244863,-0.25697492926549165,-0.0372928299221443
1777473945832517600,0.512517578125,-9.803209504157303,-0.25708509337538854,-0.03714377912356285
1777473945842555600,0.5225556640625,-9.803203658938408,-0.2572993937131949,-0.03714759449886623
1777473945852593700,0.53259375,-9.803196644675731,-0.25755433658864346,-0.03715116556228604
1777473945862632400,0.542632568359375,-9.803189630413055,-0.2578384324933402,-0.03707518913306994
1777473945872670700,0.552670654296875,-9.803180862584709,-0.2581750257702544,-0.037080198668327645
1777473945882708500,0.56270849609375,-9.803173848322034,-0.2584626105399802,-0.03699790437946794
1777473945892746800,0.572746826171875,-9.803169756668806,-0.2586420952927321,-0.036827660095808096
1777473945902785500,0.58278564453125,-9.803167418581246,-0.2587560222622938,-0.03663133380610961
1777473945912823600,0.592823486328125,-9.803165665015579,-0.2588097617435269,-0.03661576862750807
1777473945922861600,0.602861572265625,-9.803165080493688,-0.2588439562740736,-0.03653622113487218
1777473945932899600,0.612899658203125,-9.803166249537467,-0.25880780724845825,-0.03648740899050608
1777473945942938600,0.622938720703125,-9.803170341190695,-0.25869008088661355,-0.03633760698996484
1777473945952976600,0.6329765625,-9.803173263800144,-0.2585916072145104,-0.03619070248269709
1777473945963014700,0.6430146484375,-9.803172679278253,-0.2586241029783152,-0.0360721016213065
1777473945973052400,0.653052490234375,-9.803171510234474,-0.2586806554711424,-0.03602940640718443
1777473945983091700,0.663091796875,-9.803169756668806,-0.2587382308772765,-0.036055344566039274
1777473945993129500,0.67312939453125,-9.803169172146916,-0.25876659845523536,-0.036045101733237966
1777473946003167700,0.683167724609375,-9.803164495971798,-0.2589273237085901,-0.036129681594017894
1777473946013206500,0.69320654296875,-9.80316157336235,-0.2590221441188827,-0.03618453532010316
1777473946023244500,0.70324462890625,-9.803158650752902,-0.25912894722791385,-0.03634737718201941
1777473946033282600,0.713282470703125,-9.803154559099674,-0.25927672166815025,-0.03637524471976794
1777473946043320600,0.723320556640625,-9.803152221012114,-0.2593510107470676,-0.03641224997862009
1777473946053359600,0.733359619140625,-9.803151051968335,-0.2594222676186822,-0.036236918527889066
1777473946063397600,0.743397705078125,-9.803152221012114,-0.25940042111305517,-0.036143045682378576
1777473946073435600,0.753435546875,-9.803151051968335,-0.25944798658182844,-0.03599762302943272
1777473946083473700,0.7634736328125,-9.803151636490226,-0.2594369171985425,-0.03596337141667027
1777473946093512400,0.773512451171875,-9.803154559099674,-0.25932940170345825,-0.03596170004939195
1777473946103550700,0.78355078125,-9.80316040431857,-0.25910492703150956,-0.035956640281784344
1777473946113588500,0.79358837890625,-9.803166249537467,-0.2588819867295213,-0.035945221555337775
1777473946123627800,0.803627685546875,-9.803170341190695,-0.25873508907211945,-0.03593257213631877
1777473946133665500,0.81366552734375,-9.803176770931481,-0.2585189255707897,-0.03578954921972472
1777473946143703800,0.823703857421875,-9.803180862584709,-0.2583804669481702,-0.03567054878282361
1777473946153741600,0.833741455078125,-9.803183200672269,-0.25829841468790543,-0.035497304257901846
1777473946163780600,0.843780517578125,-9.803185538759827,-0.25823720428626984,-0.03530337770455517
1777473946173818600,0.853818603515625,-9.803186707803606,-0.25822443613624196,-0.03518123546249698
1777473946183856400,0.8638564453125,-9.803189630413055,-0.25812740550255403,-0.03500806171952281
1777473946193894700,0.873894775390625,-9.803193722066283,-0.25802392686177045,-0.03471619806690141
1777473946203933400,0.883933349609375,-9.803203074416517,-0.2577285606443882,-0.03421633595309686
1777473946213971700,0.8939716796875,-9.803229962423444,-0.25691903435979035,-0.032598272047878706
1777473946224009500,0.904009521484375,-9.803266787302494,-0.2558150186406448,-0.029978027096483853
1777473946234047700,0.9140478515625,-9.803353296542166,-0.2535826382123865,-0.018626430477324173
1777473946244086500,0.92408642578125,-9.803424608212708,-0.25149552974002437,0.0018108319749953806
1777473946254124500,0.93412451171875,-9.803417593950032,-0.25018234651591625,0.028283623719157183
1777473946264162600,0.94416259765625,-9.803267371824383,-0.24855173137309028,0.0674727682323195
1777473946274201600,0.95420166015625,-9.802745393776894,-0.24704832280650735,0.12462101672925054
1777473946284239600,0.964239501953125,-9.80149919310808,-0.24573844578433782,0.20150807625055311
1777473946294277600,0.974277587890625,-9.799014390555024,-0.244102697808668,0.3001948979140259
1777473946304315600,0.984315673828125,-9.7944136187613,-0.24216053249863906,0.42567802963163703
1777473946314354700,0.994354736328125,-9.786607328924536,-0.23740639677410943,0.5799526455422863
1777473946324392400,1.004392333984375,-9.774604756441711,-0.2280923144565895,0.7585902434129268
1777473946334430700,1.0144306640625,-9.757437348541616,-0.21975785429356617,0.9562992196414619
1777473946344469000,1.024468994140625,-9.735112704008817,-0.2142062297821045,1.1627915871106087
1777473946354508000,1.034508056640625,-9.709453362095356,-0.21094120010416953,1.3610295556493102
1777473946364546000,1.044546142578125,-9.683398883384466,-0.20796211122814565,1.5358796343378722
1777473946374584000,1.054583984375,-9.660738138765096,-0.20567982724355532,1.6727873742535708
1777473946384621800,1.064621826171875,-9.644780691176653,-0.20397976359371095,1.7626641906641423
1777473946394660900,1.074660888671875,-9.636712535533308,-0.19739930749116463,1.8069835171230135
1777473946404699000,1.084698974609375,-9.634345221880078,-0.18349364133337512,1.8210189106076955
1777473946414737000,1.09473681640625,-9.635410220763086,-0.16333963710423557,1.8172991594322025
1777473946424776200,1.104776123046875,-9.63833341473341,-0.13676571022965944,1.8039429803833364
1777473946434814000,1.11481396484375,-9.64140916891694,-0.10367249198839999,1.7896546350508926
1777473946444852000,1.12485205078125,-9.644631638094783,-0.06595966938878409,1.7740101989343762
1777473946454890000,1.134889892578125,-9.646621350607276,-0.034569444256683346,1.764054183717817
1777473946464928800,1.1449287109375,-9.64756535345912,-0.006932558617490576,1.7592093740351498
1777473946474967000,1.154967041015625,-9.648332830700278,0.018685598477278836,1.7549090464927255
1777473946485004800,1.1650048828125,-9.650507252129913,0.04721249975026585,1.742374412959814
1777473946495043000,1.17504296875,-9.654805826106667,0.08281699755955486,1.7170464949578046
1777473946505081900,1.185081787109375,-9.660088150423764,0.12461470571947283,1.6845045539237558
1777473946515120000,1.1951201171875,-9.665479780334234,0.17163615814335642,1.649068352752924
1777473946525158000,1.205157958984375,-9.671160164058207,0.22503362100571392,1.6088526622205972
1777473946535196200,1.215196044921875,-9.676645901992917,0.2826366092665121,1.5662147129774093
1777473946545235000,1.22523486328125,-9.68173358052075,0.34417200507279483,1.5218286048926413
1777473946555273000,1.23527294921875,-9.687105336686969,0.4131491682523861,1.4695862303495406
1777473946565311000,1.24531103515625,-9.692523854604364,0.49239053581487385,1.408162770485133
1777473946575350000,1.25535009765625,-9.69717431075871,0.5839994001824409,1.339452953004837
1777473946585388000,1.265387939453125,-9.70088660928011,0.6898547069694847,1.2598723435506225
1777473946595426000,1.275426025390625,-9.703089672282337,0.8094021467614918,1.168461960897222
1777473946605464000,1.285464111328125,-9.703560796925425,0.9391494204632937,1.0626823496948927
1777473946615503000,1.295503173828125,-9.702056237581372,1.0740165944620965,0.9417941628184169
1777473946625540900,1.305540771484375,-9.698430448299646,1.2072885351587086,0.8082629866637289
1777473946635579000,1.315578857421875,-9.69230582793951,1.3356111828848718,0.6676374683339148
1777473946645617000,1.325616943359375,-9.683828506973386,1.4546562261126934,0.5270901663394645
1777473946655656000,1.335656005859375,-9.672873397716879,1.5626361238382755,0.4050544168630615
1777473946665694000,1.34569384765625,-9.659391400331259,1.6636875374749303,0.31413875892404464
1777473946675732000,1.35573193359375,-9.64379518727064,1.7618946675963698,0.25163672830900174
1777473946685770000,1.36577001953125,-9.62630512328744,1.8611483841612935,0.20189201580053195
1777473946695808800,1.375808837890625,-9.607620296561718,1.9600715535975992,0.14878124265875667
1777473946705847000,1.385846923828125,-9.588838439202307,2.053738702201843,0.08199340621698648
1777473946715884800,1.395884765625,-9.57115548299551,2.1362040733121335,0.0014422772238161996
1777473946725924000,1.405924072265625,-9.560886602437495,2.1810139597669242,-0.05486147100031376
1777473946735961900,1.4159619140625,-9.554224221938847,2.2087628213055432,-0.09244205465554259
1777473946746000100,1.426000244140625,-9.55121685681641,2.2193870911724862,-0.1377013014461845
1777473946756038000,1.436037841796875,-9.55077320470214,2.2167685792371628,-0.19760527839204295
1777473946766077000,1.446076904296875,-9.551763969305156,2.2042571804493662,-0.27467246198691425
1777473946776115000,1.456114990234375,-9.553484801748395,2.1827413680814205,-0.37006917433012276
1777473946786153000,1.466153076171875,-9.555304418390989,2.151954307890683,-0.4854226330310106
1777473946796191000,1.47619091796875,-9.556071311110257,2.114513342768699,-0.6170267866458743
1777473946806230000,1.48622998046875,-9.554783609387277,2.072045927786827,-0.7636192505560815
1777473946816268000,1.49626806640625,-9.550111525923013,2.02346602127403,-0.9334555927358568
1777473946826305800,1.506305908203125,-9.539792376482486,1.9661258852005004,-1.1389027620010077
1777473946836344000,1.516343994140625,-9.521468784284592,1.8960567620657383,-1.3845532007083297
1777473946846382800,1.5263828125,-9.493642035204171,1.8049626788198947,-1.6683092059262097
1777473946856421000,1.536421142578125,-9.45032019535005,1.6933132988013326,-1.9986295400507748
1777473946866459000,1.546458984375,-9.382999055749178,1.5735402335599065,-2.377748976396769
1777473946876498000,1.556497802734375,-9.291222104805707,1.4596585644446312,-2.777223656898737
1777473946886536000,1.566535888671875,-9.180448776969314,1.364973470969498,-3.166478702811897
1777473946896574000,1.576573974609375,-9.061958591145277,1.3070662025325,-3.5132419299542903
1777473946906612000,1.586612060546875,-8.947796789914369,1.2911970177493988,-3.800016844601929
1777473946916651000,1.596651123046875,-8.843324608048796,1.3020778927259147,-4.03368122356981
1777473946926689000,1.60668896484375,-8.744169821813703,1.3179445932909846,-4.239445495960116
